Help!	बचाओ!
He sang while working.	उसने गाते गाते काम किया।
He was my dear friend.	वह मेरा अच्छा दोस्त था।
He was sick last week.	वह पिछले हफ़्ते बीमार था।
He won the race again.	उसने प्रतियोगिता फिरसे जीत ली।
He writes beautifully.	वह सुंदर लिखता है।
How do you feel today?	तुम्हे आज कैसा लग रहा है?
I am grateful to them.	मैं उनका आभारी हूँ।
I am poor at swimming.	मुझे ढंग से तैरना नहीं आता।
I am tired of my work.	मैं अपने काम से थक चुका हूँ।
I can't let you leave.	आपको जाने नहीं दे सकता हूँ।
I dove into the river.	मैंने नदी में छलाँग लगाकर डुबकी ली।
I have made him angry.	मैंने उसे गुस्सा कर दिया है।
I live in Boston, too.	मैं भी बॉस्टन में ही रहता हूँ।
I made him my servant.	मैंने उसे अपना नौकर बना लिया।
I never liked biology.	मुझे जीव विज्ञान कभी भी पसंद नहीं था।
I ran away in a hurry.	मैं हड़बड़ी में दौड़ गया।
I want to visit Korea.	मैं कोरिया जाना चाहता हूँ।
I'm too tired to walk.	मैं इतना थक गया हूँ कि मुझसे और चला नहीं जाएगा।
I've made my decision.	मैं फ़ैसला कर चुका हूँ।
Is Mary your daughter?	क्या मैरी तुम्हारी बेटी है?
Is your watch correct?	तुम्हारी घड़ी सही है क्या?
It will snow tomorrow.	कल बरफ़ पड़ेगी।
Let's start the party.	पार्टी शुरू करते हैं।
Make yourself at home.	इसको अपना घर ही समझो।
May comes after April.	मई अप्रैल के बाद आता है।
My car is not running.	मेरी गाड़ी चल नहीं रही है।
My eye has swollen up.	मेरी आँख सूज गई है।
Not all birds can fly.	सारे पंछी उड़ नहीं सकते।
Please close the door.	दरवाज़े को बंद कर दीजिए।
Please leave me alone.	मुझे अकेला छोड़ दीजिए।
Please throw the ball.	गेंद फेंकिए।
Put it where you like.	जहाँ भी डालना है डालदो।
Put it where you like.	जहाँ भी रखना है रखदो।
Put it where you like.	जहाँ भी घुसाना है घुसादो।
She always works hard.	वह हमेशा मन लगाकर काम करती है।
She asked me for help.	उसने मुझसे मदद मांगी।
She got me a tiny toy.	वह मेरे लिए एक नन्हा सा खिलौना खरीद लाई।
She hated her husband.	वह अपने पति से नफ़रत करती थी।
She is five years old.	वह पाँच साल की है।
She lived a long life.	उसने लम्बी ज़िन्दगी जी।
She's a stubborn girl.	वह एक ज़िद्दी लड़की है।
Sit wherever you like.	कहीं भी बैठ जाओ।
Tell me what happened.	मुझे बताओ क्या हुआ।
The lake is deep here.	झील यहाँ पर बहुत गहरी है।
The man lost all hope.	उस आदमी ने सारी उम्मीद छोड़दी।
The station is nearby.	स्टेशन पास में है।
They hated each other.	वे एक-दूसरे से नफ़रत करते थे।
They made fun of Mary.	उन्होंने मेरी का मज़ाक उड़ाया।
They missed the train.	उनकी ट्रेन छूट गई।
They shouted for help.	उन्होंने मदद के लिए चिल्लाया।
They shouted for help.	उन्होंने मदद के लिए आवाज़ लगाई।
This is an apple, too.	यह भी सेव है।
Tom and I are friends.	टॉम और मैं दोस्त हैं।
We accepted his offer.	हमने उसके प्रस्ताव को स्वीकार कर लिया।
We are disturbing him.	हम उनको परेशान कर रहें हैं।
We rested for a while.	हमने थोड़ी देर आराम किया।
Well, I must be going.	मुझे चलना चाहिए।
What is this nonsense?	यह क्या बकवास है?
What're you two doing?	तुम दोनो क्या कर रहे हो?
What're you two doing?	तुम दोनो क्या कर रहे थे?
Where is the elevator?	लिफ़्ट कहाँ पर है?
Whose books are these?	ये क्या किताबें हैं?
Will he come tomorrow?	वह कल आएगा क्या?
Will he come tomorrow?	वे कल आएँगे क्या?
You didn't understand.	तुम समझे नहीं।
You reap what you sow.	जैसी करनी वैसी भरनी।
You reap what you sow.	जैसा बोओगे, वैसा काटोगे।
You reap what you sow.	अच्छा करो, अच्छा पाओ।
You reap what you sow.	कर भला तो हो भला।
You reap what you sow.	जैसा करना वैसा भरना।
Your hair is too long.	तुम्हारे बाल कुछ ज़्यादा ही लम्बे हैं।
"Who is it?" "It's me."	"कौन है?" "मैं हूँ"
A fox is a wild animal.	लोमड़ी जंगली जानवर होती है।
A rabbit has long ears.	खरगोश के कान लम्बे होते हैं।
Can anyone believe you?	क्या कोई तुम्हारा यकीन कर सकता है?
Did you read it at all?	तुमने पूरा पढ़ लिया क्या?
Do you like this color?	यह रंग पसंद है क्या?
Don't ask me for money.	मुझसे पैसे मत माँगो।
Don't lose your temper.	नाराज़ मत हो जाओ।
Don't make fun of them.	उनका मज़ाक मत उड़ाओ।
Don't make me slap you.	मुझे तुम्हें थप्पड़ करने के लिए मजबूर मत करो।
Don't say such a thing.	ऐसी बात मत बोलो।
Don't start doing that.	वह काम शुरु मत करो।
Everyone knew the song.	वह गाना सभी को पता था।
Fish live in the water.	मछलियाँ पानी में जीतीं हैं।
He can't run very fast.	वह ज़्यादा तेज़ नहीं भाग सकता।
He earns a good salary.	वह अच्छा कमा लेता है।
He has three daughters.	उसकी तीन बेटियाँ हैं।
He knocked at the door.	उसने दरवाज़े पर खटखटाया।
He learned how to swim.	उसने तैरना सीखा।
He robbed me of my bag.	उसने मेरा बस्ता चुरा लिया।
He told me where to go.	उसने मुझे बताया कहाँ जाना है।
He tore the book apart.	उसने किताब को फाड़ डाला।
He understands physics.	वह भौतिक विज्ञान समझता है।
He will soon come back.	वह बस अभी आता होगा।
He will soon come back.	वह बस आता ही होगा।
He will soon come back.	वह थोड़ी देर में वापस आ रहा है।
Her father is Japanese.	उसके पिता जापानी हैं।
I asked him to do that.	मैंने उससे वह करने को कहा था।
I don't agree with you.	मैं तुमसे सहमत नहीं हूँ।
I don't believe in God.	मैं भगवान में यकीन नहीं करता।
I don't want your pity.	मुझे तुम्हारी दया नहीं चहिए।
I found the cage empty.	मुझे पिंजरा खाली मिला।
I go to school on foot.	मैं स्कूल चलकर जाती हूँ।
I made the woman angry.	मैंने उस औरत को गस्सा दिलाया।
I prefer coffee to tea.	मुझे चाय से ज़्यादा कॉफ़ी पसंद है।
I seem to have a fever.	मुझे बुखार जैसा लगता है।
I still don't know yet.	मुझे अभी भी नहीं पता।
I wake up at 7 o'clock.	मैं सात बजे सोकर उठता हूँ।
I want to do it myself.	मैं अपने-आप करना चाहता हूँ।
I wasn't fired. I quit.	मुझे नौकरी से निकाला नहीं गया। मैंने खुद ही नौकरी छोड़ दी।
I will be back by nine.	मैं नौ बजे से पहले वापस आ जाऊँगा।
I wonder what happened.	पता नहीं क्या हुआ।
I'd like a Bloody Mary.	मुझे एक ब्लडी मेरी चाहिए।
I'll make a phone call.	मैं फ़ोन करता हूँ।
I'm at the airport now.	मैं अभी हवाईअड्डे में हूँ।
I'm longing to see him.	मैं उससे मिलने के लिए उत्सुक हूँ।
I'm thinking about you.	मैं तुम्हारे बारे में सोच रहा हूँ।
Is anyone absent today?	क्या आज कोई अनुपस्थित है?
Is anyone absent today?	आज कोई है जो नहीं आया है?
It is difficult for me.	वह मेरे लिए मुश्किल है।
It's rather cold today.	आज मौसम काफ़ी ठंडा है।
Mind your own business!	अपने काम से काम रखो!
My father is very nice.	मेरे पिता बहुत अच्छे हैं।
My father is very nice.	मेरे पापा बहुत अच्छे हैं।
My stomach is growling.	मेरा पेट गुड़गुड़ा रहा है।
New York is a big city.	न्यू यॉर्क बड़ा शहर है।
School begins in April.	स्कूल अप्रैल में शुरू होता है।
School is over at 3:30.	स्कूल साढ़े तीन बजे छूटता है।
Shall I clean the room?	मैं कमरे की सफ़ाई करूँ क्या?
She always wears black.	वह हमेशा काले कपड़े पहनती है।
She can play the piano.	वह पियानो बजाना जानती है।
She has a gentle heart.	वह नर्म दिल वाली है।
She is a wealthy woman.	वह बहुत पैसेवाली औरत है।
She is poor, but happy.	वह गरीब है, पर खुश है।
She married a rich man.	उसने पैसेवाले से शादी की।
She prattles on and on.	वह बहुत बक-बक करती है।
She showed me her room.	उसने मुझे अपना कमरा दिखाया।
Should I clean my room?	क्या मैं कमरा साफ़ कर सकती हूँ?
That is almost correct.	यह लगभग सही है।
That was cooked in oil.	वह तेल में पकाया गया है।
That was cooked in oil.	वह तेल में पका हुआ है।
That's a good question.	यह एक बहुत अच्छा सवाल है।
That's weird, isn't it?	ये अजीब है, नहीं?
The baby ceased crying.	बच्चे ने रोना समाप्त कर दिया।
The baby ceased crying.	बच्चे ने रोना बंद कर दिया।
The gate was left open.	गेट को खुला छोड़ दिया गया था।
The girl looked around.	उस लड़की ने पीछे मुड़कर देखा।
The knife is not sharp.	यह चाकू तेज़ नहीं है।
The light doesn't work.	यह बत्ती काम नहीं करती।
The sooner, the better.	जितना जल्दी उतना अच्छा।
They will be very glad.	वे बहुत प्रसन्न होंगे।
This book is very thin.	यह किताब बहुत पतली है।
This lion is very tame.	यह शेर बहुत पालतू है।
This silk feels smooth.	यह रेशम छूने में बहुत नर्म लगता है।
Tom started the engine.	टॉम ने इंजन को चालू कर दिया।
We often make mistakes.	हम अक्सर ग़लतियाँ कर बैठते हैं।
Were you told to do so?	तुम्हें यह करने के लिए बताया गया था?
What do you like to do?	तम्हे क्या करना अच्छा लगता है?
What do you like to do?	आपको क्या करना अच्छा लगता है?
What time does it open?	कितने बजे खुलता है?
What's the temperature?	तापमान क्या है?
Who do you think he is?	तुम्हारे ख़याल से वह कौन है?
Why are you stuttering?	हकला क्यों रहे हो?
Will we arrive in time?	हम समय में पहुँच जाएँगे क्या?
You had plenty of time.	तुम्हारे पास काफ़ी समय था।
You have a good memory.	तुम्हारी याददाश्त अच्छी है।
You've got to stop Tom.	तुम्हे टॉम को रोकना ही होगा।
Are there enough chairs?	कुरसियाँ काफ़ी हैं क्या?
Are you free on Tuesday?	तुम मंगलवार को खाली हो क्या?
Can I see your passport?	मैं आपका पासपोर्ट देख सकता हूँ क्या?
Can you lend me 500 yen?	तुम मुझे पाँच सौ येन उधार दे सकते हो क्या?
Can't you speak English?	तुम अंग्रेज़ी नहीं बोल सकते हो क्या?
Do you watch television?	आप टीवी देखतें हैं क्या?
Does milk spoil quickly?	दूध जल्दी से खराब हो जाता है क्या?
Don't drink any alcohol.	शराब की एक बूंद भी मत पियो।
Don't forget the ticket.	टिकट भूलना मत।
Glass is made from sand.	ग्लास रेत से बनाया जाता है।
He abandoned his family.	उसने अपने परिवार को छोड़ दिया।
He betrayed his country.	उसने अपने देश को धोखा दे दिया।
He catches colds easily.	उसे ज़ुकाम बहुत आसानी से हो जाता है।
He couldn't get the job.	उसको नौकरी नहीं मिल पायी।
He decided to go abroad.	उसने विदेश जाने का निर्णय लिया।
He did not get up early.	वह जल्दी नहीं उठा।
He got lost in the park.	वह पार्क में खो गया।
He is smelling the soup.	वह सूप को सूँघ रहा है।
He is used to hard work.	उसको मेहनत करने की आदत है।
He likes playing soccer.	उसको फ़ुटबॉल खेलना अच्छा लगता है।
He looked up at the sky.	उसने आसमान की तरफ़ देखा।
He tends to be arrogant.	उसको घमण्डी होने की आदत है।
He tends to be arrogant.	उसको अहंकारी होने की आदत है।
He tends to be arrogant.	उसको अभिमानी होने की आदत है।
He was accused of theft.	उसपर चोरी का इलज़ाम लगाया गया।
He was more than a king.	वह एक राजा से बहुत ज़्यादा था।
Her story can't be true.	उसकी कहानी सच्ची नहीं हो सकती।
I do not have much time.	मेरे पास ज़्यादा समय नहीं है।
I don't have much money.	मेरे पास ज़्यादा पैसे नहीं हैं।
I feel like throwing up.	मुझे उल्टी आ रही है।
I fell in love with her.	मुझे उससे प्यार हो गया।
I found the glass empty.	मुझे गिलास खाली मिला।
I have little money now.	अब मेरे पास बहुत थोड़े पैसे हैं।
I have no money with me.	मेरे पास अभी कोई पैसे नहीं हैं।
I have to see a dentist.	मुझे दंत चिकित्सक से मिलना है।
I like my job very much.	मुझे अपना काम बहुत पसंद है।
I like studying English.	मुझे अंग्रेज़ी पढ़ना अच्छा लगता है।
I really like city life.	मुझे शहर की ज़िन्दगी पसंद है।
I wish I could help you.	काश मैं तुम्हारी मदद कर सकता।
I'd rather not meet him.	हो सके तो मैं उससे मिलना नहीं चाहूँगा।
I'd rather not meet him.	हो सके तो मैं उससे मिलना नहीं चाहूँगी।
I'll give you a present.	मैं तुम्हें एक तोहफ़ा दूँगा।
I've quit drinking beer.	मैंने बीयर पीना छोड़ दिया है।
Is this what you wanted?	तुम यही चाहते थे ना?
It is almost 12 o'clock.	बारह बजने वाले हैं।
It's almost six o'clock.	छः बजने वाले हैं।
It's no concern of mine.	इससे मेरे कोई लेना-देना नहीं है।
My sister has long legs.	मेरी बहन की टांगें बहुत लम्बीं हैं।
Shall I get you a chair?	मैं आपके लिए कुरसी लेआऊँ?
She bought a dozen eggs.	उसने एक दर्जन अंडे खरीदे।
She doesn't speak to me.	वह मुझसे बात नहीं करती।
She is dressed in white.	उसने सफ़ेद कपड़े पहने हुएँ हैं।
She was late once again.	वह एक बार फिर देर से आई।
Show me another example.	मुझे एक और उदाहरण दो।
Swimming is easy for me.	मेरे लिए तैरना आसान है।
Take whichever you want.	कोईसा भी ले लो।
That applies to him too.	यह उसपर भी लागु होता है।
That man has many debts.	इस आदमी के पास बहुत सारे कर्ज़ हैं।
The box is made of wood.	डब्बा लकड़ी का बना है।
The bus hasn't come yet.	बस अभी तक आई नहीं है।
The house was in flames.	घर आग में लिपटा हुआ था।
They adopted the orphan.	उन्होंने अनाथ बच्चे को गोद ले लिया।
They stood face to face.	वे आमने-सामने खड़े हुए।
They were afraid of you.	वे तुमसे डरते थे।
They were afraid of you.	उन्हें तुमसे डर लगता था।
This chair is too small.	यह कुरसी बहुत छोटी है।
This is why I came back.	मैं इसीलिए वापस आया था।
This river is beautiful.	यह नदी बहुत सुन्दर है।
Tomorrow is my birthday.	कल मेरा जन्मदिन है।
Turn your face this way.	अपना मूँह इस ओर मोड़ो।
Turn your face this way.	अपना मूँह इस तरफ़ मोड़ो।
Two plus two makes four.	दो और दो चार होते हैं।
Water is very important.	पानी बहुत जरूरी है।
We all stood up at once.	हम सब एक-साथ खड़े हो गए।
We bought a round table.	हमने गोल मेज़ खरीदी।
We have no school today.	हमारी आज स्कूल से छुट्टी है।
We may not win tomorrow.	हम कल शायद नहीं जीतेंगे।
We put sugar in our tea.	हम चाय में चीनी डालते हैं।
What do you want it for?	तुम्हे किसलिए चाहिए?
What is his nationality?	उसकी राष्ट्रीयता क्या है?
When do you play tennis?	तुम टेनिस कब खेलना चाहते हो?
When it rains, it pours.	जब बारिश होती है, तो ज़बरदस्त होती है।
Why don't you ever help?	तुम कभी भी मदद क्यों नहीं करते?
Why don't you ever help?	तू कभी भी मदद क्यों नहीं करता है?
Will you turn on the TV?	टीवी चालू करदोगे क्या?
You shouldn't wait here.	तुम्हें यहाँ इंतेज़ार नहीं करना चाहिए।
Are you younger than him?	तुम उससे छोटे हो क्या?
Bad news travels quickly.	बुरी खबर तेज़ी से फैलती है।
Can you keep it a secret?	क्या तुम इसे राज़ रख सकते हो?
Cheese is made from milk.	चीज़ दूध से बनता है।
Choose between these two.	इन दोनों में से किसी एक को चुनो।
Did he tell you anything?	उसने तुम्हें कुछ बताया क्या?
Did you do your homework?	तुमने अपना होमवर्क कर लिया क्या?
Did you do your homework?	होमवर्क किया क्या?
Do you have a pen on you?	तुम्हारे पास कलम है क्या?
Do you have any brothers?	तुम्हारे कोई भाई हैं क्या?
Do you need an ambulance?	आपको ऐमब्यूलेंस की ज़रूरत है क्या?
Don't play with that key!	उस चाबी के साथतानी मत करो!
Don't you want to go out?	बाहर नहीं जाना चाहते हो क्या?
Every house had a garden.	हर घर में बगीचा था।
He can't be under thirty.	वह कम-से-कम तीस साल का तो होगा।
He cut the envelope open.	उसने लिफ़ाफ़े को काटकर खोल दिया।
He did not die of cancer.	वह कैंसर से नहीं मरा।
He is very fond of music.	वह संगीत का बहुत शौकीन है।
He knows a lot of people.	वह बहुत सारे लोगों को जानता है।
He leveled his gun at me.	उसने अपनी बंदूक का निशाना मुझपर लगाया।
He was accused of murder.	उसपर कत्ल का इलज़ाम लगाया गया।
He was then a boy of ten.	वह दस साल का लड़का था।
He will not listen to me.	वह मेरी बात नहीं सुनेगा।
He's always dissatisfied.	वह कभी भी संतुष्ट नहीं होता।
He's reading a novel now.	वह अभी एक उपन्यास पढ़ रहा है।
Here, please have a seat.	यहां, बैठिये।
How long have you waited?	तुम कितनी देर से प्रतीक्षा कर रहे हो?
How much for half a kilo?	आधा किलो कितने का है?
I am able to drive a car.	मैं गाड़ी चला सकता हूँ।
I beg to differ with you.	माफ़ किजिए, पर मैं आपसे सहमत नहीं हूँ।
I can't live without you.	मैं तुम्हारे बिना जी नहीं सकता।
I can't live without you.	मैं तुम्हारे बगैर जी नहीं सकती।
I can't stand it anymore.	मुझसे और सहन नहीं होगा!
I can't walk any further.	मैं और नहीं चल सकती।
I can't walk any further.	मुझसे और नहीं चला जाएगा।
I don't like this jacket.	मुझे यह जैकेट पसंद नहीं है।
I felt like running away.	मेरा भाग जाने का मन हुआ।
I go to school by subway.	मैं मेट्रो लेकर स्कूल जाती हूँ।
I got lost in the forest.	मैं जंगल में खो गया।
I had two cups of coffee.	मैंने दो कप कॉफ़ी पी।
I have a heart condition.	मुझे दिल की बीमारी है।
I have to go to the bank.	मुझे बैंक जाना है।
I heard someone knocking.	मुझे किसी के खटखटाने की आवाज़ सुनाई दी।
I like English and music.	मुझे अंग्रेज़ी और संगीत पसंद हैं।
I like playing the piano.	मुझे पियानो बजाना पसंद है।
I need coughing medicine.	मुझे खाँसी की दवाई चाहिए।
I ran into an old friend.	मेरी एक पुराने दोस्त से मुलाक़ात हुई।
I think that he is right.	मुझे लगता है वह सही है।
I was on a trip to India.	मैं भारत की यात्रा पर था।
I was waiting for a taxi.	मैं टैक्सी का इंतेज़ार कर रहा था।
I was waiting for a taxi.	मैं टैक्सी की प्रतीक्षा कर रहा था।
I will explain it to her.	मैं उसको यह बात समझाउँगा।
I will explain it to him.	मैं उसको यह बात समझाउँगा।
I will have to help them.	मुझे उनकी मदद करनी पड़ेगी।
I will never do it again.	मैं फिरसे नहीं करूँगा।
I wish you spoke Spanish.	काश तुम स्पैनिश बोल सकते।
I'd like to get a refund.	मुझे अपने पैसे वापस चाहिए।
I'll call you back later.	मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।
I'll call you back later.	मैं आपको थोड़ी देर बाद फ़ोन करूँगा।
I'm going to take a bath.	मैं नहाने जा रहा हूँ।
I've read the first page.	मैंने पहला पृष्ठ पढ़ा लिया I
Iron is harder than gold.	लोहा सोने से सख्त होता है।
Is your father a teacher?	क्या आपके पिताजी अध्यापक हैं?
Is your father a teacher?	क्या तुम्हारे पिताजी अध्यापक हैं?
Is your father a teacher?	क्या आपके पापा अध्यापक हैं?
Is your father a teacher?	क्या तुम्हारे पापा अध्यापक हैं?
Is your father a teacher?	क्या आपके पिताजी टीचर हैं?
Is your father a teacher?	क्या तुम्हारे पिताजी टीचर हैं?
Is your father a teacher?	क्या आपके पापा टीचर हैं?
Is your father a teacher?	क्या तुम्हारे पापा टीचर हैं?
Is your father a teacher?	तेरा बाप टीचर है क्या?
It is almost ten o'clock.	दस बजने वाले हैं।
It seems that he is rich.	ऐसा लगता है कि वह अमीर है।
It's not healthy for you.	यह तुम्हारी सेहत के लिए अच्छा नहीं है।
Let me introduce my wife.	यह मेरी पत्नी है।
Let me know your address.	मुझे अपना पता बतादेना।
My father died of cancer.	मेरे पिताजी कैंसर से चल बसे।
Please wait five minutes.	कृपया पाँच मिनट ठहरिए।
She is an obstinate girl.	वह एक ज़िद्दी लड़की है।
She left the baby crying.	उसने बच्चे को रोते हुए छोड़ दिया।
She refused to notice me.	उसने मुझे ध्यान में लेने से इनकार करदिआ।
Ten years is a long time.	दस साल बहुत लम्बा समय होता है।
The doctor felt my pulse.	डॉक्टर ने मेरी नब्ज़ ली।
The food is getting cold.	खाना ठंडा हो रहा है।
The food's not ready yet.	खाना अभी तक तैयार नहीं हुआ है।
The man committed murder.	उस आदमी ने कत्ल किया।
The party was successful.	पार्टी कामयाब रही।
These are very old books.	ये किताबें काफ़ी पुरानी हैं।
They gathered in the gym.	वे सब जिमखाने में मिले।
This amount includes tax.	इस कीमत में टैक्स शामिल है।
This house has six rooms.	इस घर में छः कमरे हैं।
This is as large as that.	यह उसके जितना बड़ा है।
This road is very narrow.	यह रास्ता बहुत पतला है।
Tokyo is a very big city.	टोक्यो बहुत बड़ा शहर है।
Tom is able to swim well.	टॉम को अच्छे से तैरना आता है।
We had no water to drink.	हमारे पास पीने के लिए पानी नहीं था।
We import tea from India.	हम भारत से चाय का आयात करते हैं।
We would die without air.	हम हवा के बिना मर जाएँगे।
What are you looking for?	क्या ढूँढ रहे हो?
What happened last night?	कल रात क्या हुआ?
What he lacks is courage.	उसको बहादुरी की ज़रूरत है।
What school do you go to?	तुम कौनसे स्कूल में पढ़ते हो?
What time do you go home?	तुम किस समय घर जाती हो?
What time do you go home?	तुम कितने बजे घर जाते हो?
When are you coming back?	तुम वापस कब आओगे?
When did you get married?	तुम्हारी शादी कब हुई थी?
Will you please go there?	आप वहाँ जाएँगे क्या?
Yes, I like it very much.	हाँ, मुझे यह बहुत पसंद है।
You have to wait in line.	आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।
You made me lose my mind.	तुमने मुझे पागल कर दिया।
A is 5 times as long as B.	A B से पाँचगुना लम्बा है।
Apples were on sale today.	आज सेव सस्ते बिक रहे थे।
As for me, I am satisfied.	मैं तो संतुष्ट हूँ।
Can you come to the party?	तुम पार्टी में आ सकते हो क्या?
Canada is a large country.	कनाडा एक बड़ा देश है ।
Come to my house at eight.	मेरे घर आठ बजे आना।
Did the police arrest Tom?	पुलीस ने टॉम को गिरफ़्तार किया क्या?
Do you believe in fairies?	तुम परियों में विश्वास करते हो क्या?
Do you believe in fairies?	तुम परियों में विश्वास करती हो क्या?
Do you have a larger size?	आपके पास इससे बड़े नाप का है क्या?
Do you want to come along?	तुम साथ आना चाहते हो क्या?
Don't leave the door open.	दरवाज़े को खुला मत छोड़ो।
Have you been here before?	तुम यहाँ पहले आए हुए हो क्या?
He began to learn English.	उसने अंग्रेज़ी सीखना शुरू किया।
He came back from America.	वह अमरीका से वापस आ गया।
He couldn't run very fast.	वह ज़्यादा तेज़ नहीं भाग सकता था।
He doesn't understand you.	वह तुम्हें समझता नहीं है।
He hammered at the window.	उसने खिड़की पर ज़ोर लगाकर खटखटाया।
He has many history books.	उसके पास बहुत सारी इतिहास की किताबें हैं।
He hesitated for a moment.	उसने थोड़ी देर हिचकिचाया।
He is one of my neighbors.	वह मेरे पड़ोसियों में से एक है।
He likes his school a lot.	उसे अपना स्कूल बहुत पसंद है।
He makes fun of everybody.	वह सबका मज़ाक उड़ाता है।
He often plays the guitar.	वह अक्सर गिटार बजाता है।
He taught me how to write.	उसने मुझे लिखना सिखाया।
He walked along the river.	हमने नदी के किनारे सैर करी।
He wanted to buy the book.	वह किताब को खरीदना चाह्ता था।
He was afraid to go there.	वह वहाँ जाने से डरता था।
He was burning with fever.	वह बुखार से जल रहा था।
He was looking at the sky.	वह आसमान की ओर देख रहा था।
He was sentenced to death.	उसे मौत की सज़ा दे दी गई।
He witnessed the accident.	उसने दुर्घटना को अपनी आँखों से देखा था।
He witnessed the accident.	वह उस दुर्घटना का चश्मदीद गवाह था।
He's sleeping like a baby.	वह बच्चे की तरह सो रहा है।
His story may not be true.	हो सकता है कि उसकी कहानी सच न हो।
How can I meet this quota?	मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?
How many bowls do we have?	हमारे पास कितनी कटोरियाँ हैं?
How many cars do you have?	आपके पास कितनी गाड़ियाँ हैं?
Hunger drove him to steal.	भूख ने उसे चोरी करने पर मजबूर किया।
I am able to read English.	मैं अंग्रेज़ी पढ़ सकता हूँ।
I am able to read English.	मैं अंग्रेज़ी पढ़ सकती हूँ।
I bought a book yesterday.	मैंने कल एक किताब खरीदी थी।
I can't make it this time.	मैं इस बार नहीं आ सकता।
I cannot walk any farther.	मैं और नहीं चल सकती।
I caught a glimpse of her.	मुझे उसकी झलक दिखाई दी।
I feel like taking a rest.	मुझे थोड़ा आराम करने का मन है।
I fixed the car yesterday.	मैंने गाड़ी को कल ठीक किया था।
I found out where she was.	मुझे पता लगा कि वह कहाँ थी।
I get up at six every day.	मैं रोज़ छः बजे उठता हूँ।
I have a Facebook account.	मेरे पास फ़ेसबुक खाता है।
I have no time to see you.	मेरे पास तुमसे मिलने के लिए समय नहीं है।
I haven't seen Tom lately.	मैंने टॉम को हाल में नहीं देखा है।
I haven't seen him lately.	मैंने उसे हाल में नहीं देखा है।
I know how to drive a car.	मुझे गाड़ी चलाना आता है।
I like the way she smiles.	मुझे उसकी मुस्कान अच्छी लगती है।
I met him at the barber's.	मैं उससे नाई के यहाँ मिला।
I sold it for ten dollars.	मैंने उसे दस डॉलर के लिए बेच दिया।
I usually get up at eight.	मैं आमतौर पर आठ बजे उठा करता हूँ।
I want to see the manager.	मैं मैनेजर से मिलना चाह्ता हूँ।
I want to see the manager.	मैं मैनेजर से मिलना चाह्ती हूँ।
I want to travel with you.	मैं तुम्हारे साथ सफ़र करना चाहता हूँ।
I was afraid he might die.	मुझे उसके मरने का डर था।
I wish I had this problem.	काश ये समस्या मुझे हुई होती।
I wish I had this problem.	काश ये मुसीबत मेरे पल्ले पड़ती।
I'll be there at five p.m.	मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।
I'll bring one more towel.	मैं एक और तौलिया लाती हूँ।
I'm busy with my homework.	मैं अपने होमवर्क में लगा हुआ हूँ।
I'm disappointed with you.	मैं तुमसे निराश हूँ।
I'm glad to see you again.	मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।
I'm interested in history.	मुझे इतिहास में दिलचस्पी है।
I'm standing in the shade.	मैं छाया में खड़ा हूँ।
I'm standing in the shade.	मैं छाँओं में खड़ा हूँ।
I'm waiting for my mother.	मैं अपनी माँ का इंतेज़ार कर रहा हूँ।
It is a difficult problem.	यह समस्या बहुत कठिन है।
It is easy to add 5 to 10.	पाँच से दस को जोड़ना बहुत आसान है।
It's already nine o'clock.	नौ बज चुकें हैं।
It's for a friend of mine.	यह मेरे दोस्त के लिए है।
Let's meet this afternoon.	इस दोपहर को मिलते हैं।
May I ask a few questions?	क्या मैं चंद सवाल पूछ सकती हूँ?
Mother bought me the book.	मम्मी ने मेरे लिए वह किताब खरीदी।
My brother lives in Tokyo.	मेरा भाई टोक्यो में रहता है।
My father may be sleeping.	मेरे पिता शायद सो रहे होंगे।
My father stopped smoking.	मेरे पिता ने सिगरेट पीना बंद कर दिया।
My right foot is sleeping.	मेरा दाहिना पैर सो गया है।
My wife really hates cats.	मेरी बीवी को बिल्लियों से नफ़रत है।
Never speak ill of others.	दूसरों की बुराई कभी नहीं करनी चाहिए।
One of my bags is missing.	मेरी एक अटैची ग़ायब है।
One of my bags is missing.	मुझे अपनी एक अटैची मिल नहीं रही है।
School begins at 8:30 a.m.	स्कूल साढ़े-आठ बजे शुरू होता है।
She did it all by herself.	उसने सब कुछ अपने-आप किया।
She has not come here yet.	वह अभी तक यहाँ नहीं आई है।
She looked at the picture.	उसने तस्वीर को देखा।
She showed me her new car.	उसने मुझे अपनी नई गाड़ी दिखाई।
Smog causes plants to die.	स्मॉग से पेड़-पौधों की मौत होती है।
Some snakes are poisonous.	कुछ सांप ज़हरीले होते हैं।
Thank you for the present.	तोहफ़े के लिए धन्यवाद।
The enemy won't get close.	दुश्मन पास नहीं आ पाएगा।
The haze enveloped London.	लंदन में धुंध छा गई थी।
The king abused his power.	राजा ने अपनी ताकत का दुरुपयोग किया।
The prisoner was released.	क़ैदी को रिहा कर दिया गया।
There is no TV in my room.	मेरे कमरे में टीवी नहीं है।
There must be another way.	कोई और रास्ता भी होगा।
These are very big apples.	ये सेब बहुत बड़े हैं।
